id_pedido,fecha,producto,categoria,cantidad,precio_unitario,descuento,pais,vendedor
1001,15/03/2023,Smartphone X,Telefonía,2,399.99,0.10,México,Ana
1002,2023-04-02,Auriculares Pro,Audio,5,89.90,5%,España,Luis
1003,10/04/2023,Tablet 10",Computación,1,299.00,0.00,México,Ana
1004,18/04/2023,Smartphone X,Telefonía,3,399,99,0.15,Argentina,Pedro
1005,2023-05-01,Teclado Mecánico,Periféricos,2,149.50,0.20,Chile,María
1006,05/05/2023,Monitor 27",Monitores,1,"450,00",10%,España,Luis
1007,12/05/2023,Mouse Inalámbrico,Periféricos,4,25.99,0.05,México,Ana
1008,2023-06-15,Smartphone X,Telefonía,1,399.99,0.10,Argentina,Pedro
1009,20/06/2023,Auriculares Pro,Audio,10,89.90,5%,Chile,María
1010,01/07/2023,Tablet 10",Computación,2,299.00,0.00,España,Luis
1011,08/07/2023,Teclado Mecánico,Periféricos,3,149.50,0.15,México,Ana
1012,2023-07-22,Monitor 27",Monitores,2,"450,00",0.10,Argentina,Pedro
1013,30/07/2023,Smartphone X,Telefonía,2,399.99,20%,Chile,María
1014,05/08/2023,Auriculares Pro,Audio,4,89.90,0.05,España,Luis
1015,18/08/2023,Tablet 10",Computación,1,299.00,0.00,México,Ana
1016,2023-09-10,Teclado Mecánico,Periféricos,0,149.50,0.20,Argentina,Pedro
1017,15/09/2023,Mouse Inalámbrico,Periféricos,-2,25.99,0.05,Chile,María
1018,22/09/2023,Monitor 27",Monitores,1,450.00,0.00,España,Luis
1019,03/10/2023,Smartphone X,Telefonía,2,399.99,0.10,México,Ana
1020,12/10/2023,Auriculares Pro,Audio,6,89.90,5%,Argentina,Pedro
1021,25/10/2023,Tablet 10",Computación,3,299.00,0.00,Chile,María
1022,02/11/2023,Teclado Mecánico,Periféricos,2,149.50,0.15,España,Luis
1023,15/11/2023,Monitor 27",Monitores,1,"450,00",10%,México,Ana
1024,28/11/2023,Smartphone X,Telefonía,1,399.99,0.10,Argentina,Pedro
1025,10/12/2023,Auriculares Pro,Audio,8,89.90,5%,Chile,María
1026,20/12/2023,Tablet 10",Computación,2,299.00,0.00,España,Luis
1027,05/01/2024,Teclado Mecánico,Periféricos,4,149.50,0.20,México,Ana
1028,18/01/2024,Mouse Inalámbrico,Periféricos,2,25.99,0.05,Argentina,Pedro
1029,25/01/2024,Monitor 27",Monitores,2,450.00,0.10,Chile,María
1030,10/02/2024,Smartphone X,Telefonía,3,399.99,0.15,España,Luis
1031,22/02/2024,Auriculares Pro,Audio,5,89.90,5%,México,Ana
1032,08/03/2024,Tablet 10",Computación,1,299.00,0.00,Argentina,Pedro
1033,20/03/2024,Teclado Mecánico,Periféricos,2,149.50,0.15,Chile,María
1034,31/03/2024,Monitor 27",Monitores,1,450.00,0.00,España,Luis
1035,01/04/2024,Smartphone X,Telefonía,2,399.99,0.10,México,Ana
1036,15/04/2024,Auriculares Pro,Audio,7,89.90,5%,Argentina,Pedro
1037,1001,15/03/2023,Smartphone X,Telefonía,2,399.99,0.10,México,Ana
